Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
Convo's Venture Round,https://www.crunchbase.com/funding-round/a099b48111928cdf82fb12fd2dbd5b5e,Convo,https://www.crunchbase.com/organization/convo,Series Unknown,"$1,009,000",01/01/2012,1,
SeeMore Interactive's Seed Round,https://www.crunchbase.com/funding-round/0402694231f6d7d55668026d0974d410,SeeMore Interactive,https://www.crunchbase.com/organization/seemore-interactive,Seed,"$350,000",05/31/2012,1,
plug.dj's Seed Round,https://www.crunchbase.com/funding-round/ed6463314457dfb2873afed6ced9bffb,plug.dj,https://www.crunchbase.com/organization/plug-dj,Seed,"$1,250,000",12/06/2013,1,
Viewbix's Equity Crowdfunding,https://www.crunchbase.com/funding-round/76810cc563492b26f1fbad7cca5fc0f2,Viewbix,https://www.crunchbase.com/organization/viewbix,Equity Crowdfunding,"$1,100,000",10/09/2013,1,
uMix.TV's Seed Round,https://www.crunchbase.com/funding-round/d3014605de58e2da627dfae7272d0e13,uMix.TV,https://www.crunchbase.com/organization/umix-tv,Seed,"$130,000",04/01/2013,2,"$1,500,000"
Chance (app)'s Grant,https://www.crunchbase.com/funding-round/40dec2afc472f955a6530a782107403b,Chance (app),https://www.crunchbase.com/organization/chance-app,Grant,"$25,000",01/01/2014,1,
Clicktivated's Seed Round,https://www.crunchbase.com/funding-round/99b121d53189c7931fa6e38f02d3a7a0,Clicktivated,https://www.crunchbase.com/organization/clicktivated,Seed,"$250,000",11/20/2013,1,
Oomba's Seed Round,https://www.crunchbase.com/funding-round/fbfb2f314327cb0995f4bb3c69d3c356,Oomba,https://www.crunchbase.com/organization/oomba,Seed,"$500,000",09/13/2013,2,
RotaryView's Seed Round,https://www.crunchbase.com/funding-round/688cb1888fcaf0a879b3df519978429a,RotaryView,https://www.crunchbase.com/organization/rotaryview,Seed,,09/06/2012,1,
Tellyo's Seed Round,https://www.crunchbase.com/funding-round/35aa5ea03e2e0ab2d43071c9b982b63c,Tellyo,https://www.crunchbase.com/organization/tellyo,Seed,"€200,000",04/03/2014,1,
Pinnatta's Seed Round,https://www.crunchbase.com/funding-round/8601e7cbe670685b1729cfc7d77f18c8,Pinnatta,https://www.crunchbase.com/organization/pinnatta,Seed,"$350,000",09/01/2011,2,
VIDCOIN's Seed Round,https://www.crunchbase.com/funding-round/f92cf91a9403f74a451e07888cec9957,VIDCOIN,https://www.crunchbase.com/organization/vidcoin,Seed,"€99,984",01/01/2013,2,
Makelight Interactive's Seed Round,https://www.crunchbase.com/funding-round/6fa198ed758f9e3da27f6e7f1f66338e,Makelight Interactive,https://www.crunchbase.com/organization/makelight-interactive,Seed,"€177,662",04/01/2013,2,"$1,451,146"
OP3Nvoice's Seed Round,https://www.crunchbase.com/funding-round/81939d25a91117e9823bb978bc1e98eb,OP3Nvoice,https://www.crunchbase.com/organization/op3nvoice,Seed,"$120,000",07/02/2013,1,
xTV Networks' Venture Round,https://www.crunchbase.com/funding-round/85aa51ae20ecb36e4089797f925dfd59,xTV Networks,https://www.crunchbase.com/organization/xtv,Series Unknown,"$2,000,000",07/14/2014,1,
iOmando's Funding Round,https://www.crunchbase.com/funding-round/615a1b63cdb344add56cc19e30561b23,iOmando,https://www.crunchbase.com/organization/iomando,Funding Round,,07/02/2014,1,
GPMESS's Funding Round,https://www.crunchbase.com/funding-round/4a617d126d8bf3987bf26db808e56538,GPMESS,https://www.crunchbase.com/organization/gpmess,Funding Round,"€200,000",06/11/2013,1,
VIDCOIN's Venture Round,https://www.crunchbase.com/funding-round/7a11ea8bf6c559e558b216993a538613,VIDCOIN,https://www.crunchbase.com/organization/vidcoin,Series Unknown,"€1,000,000",11/21/2014,1,
Viewbix's Venture Round,https://www.crunchbase.com/funding-round/ab76ed329b474e79a221dc6600aeb498,Viewbix,https://www.crunchbase.com/organization/viewbix,Series Unknown,"$3,000,000",12/04/2014,1,
Bica Studios' Seed Round,https://www.crunchbase.com/funding-round/242a75dafebe0338e040a5edc7f3333a,Bica Studios,https://www.crunchbase.com/organization/bica-studios,Seed,,03/31/2015,1,
Vyu Labs Inc's Seed Round,https://www.crunchbase.com/funding-round/452994dd5a5d31565acd152d8856f2f1,Vyu Labs Inc,https://www.crunchbase.com/organization/vyu-labs-inc,Seed,,06/24/2015,1,
Epilogger's Seed Round,https://www.crunchbase.com/funding-round/0bb6c2f9582b560573ec1dce7e3575aa,Epilogger,https://www.crunchbase.com/organization/epilogger,Seed,"$50,000",05/01/2012,1,
DabKick's Venture Round,https://www.crunchbase.com/funding-round/770172319267b506be8074937180e53c,DabKick,https://www.crunchbase.com/organization/dabkick,Series Unknown,,08/11/2014,2,
Sportlobster's Venture Round,https://www.crunchbase.com/funding-round/d0ac8b33dbcc91e5304c45eeb087d95a,Sportlobster,https://www.crunchbase.com/organization/sportlobster,Series Unknown,"£2,000,000",11/17/2015,1,
Voicefriends' Seed Round,https://www.crunchbase.com/funding-round/65a2a5dcbbfd915c6be5c3142c724d05,Voicefriends,https://www.crunchbase.com/organization/voicefriends,Seed,,01/18/2016,1,
Pulpix's Seed Round,https://www.crunchbase.com/funding-round/e3c09f53d2501400583fd55214b232b2,Pulpix,https://www.crunchbase.com/organization/pulpix,Seed,,09/01/2014,2,
Gamezone's Seed Round,https://www.crunchbase.com/funding-round/8aed9dbba79dc34dadb9ea88c49124e9,Gamezone,https://www.crunchbase.com/organization/gamezone-2,Seed,"$740,000",06/18/2014,2,
Beam's Seed Round,https://www.crunchbase.com/funding-round/db38621b2121cf694e8c22acca06dbd0,Beam,https://www.crunchbase.com/organization/beam-10,Seed,"$400,000",02/01/2016,2,
Spontly's Equity Crowdfunding,https://www.crunchbase.com/funding-round/284752f91731d3c068687daa35433b0e,Spontly,https://www.crunchbase.com/organization/spontly,Equity Crowdfunding,"£201,107",07/20/2016,,"$977,827"
London Television's Seed Round,https://www.crunchbase.com/funding-round/81b4f5839357b760ac397fe4ec60fcd7,London Television,https://www.crunchbase.com/organization/ldn-tv,Seed,,03/16/2011,1,
"SurrealVR, Inc's Seed Round",https://www.crunchbase.com/funding-round/8e1777c74eaeacbd4a22950a01517718,"SurrealVR, Inc",https://www.crunchbase.com/organization/surreal-games,Seed,"$150,000",08/15/2011,1,
Spontly's Seed Round,https://www.crunchbase.com/funding-round/46a430ac59c0decd3a37036c0b2fdd24,Spontly,https://www.crunchbase.com/organization/spontly,Seed,,01/12/2011,1,
WalkMe's Seed Round,https://www.crunchbase.com/funding-round/79d486ecedd66724d3d43281291c224d,WalkMe,https://www.crunchbase.com/organization/walkme,Seed,"$1,000,000",04/12/2012,,
LoungeUp's Seed Round,https://www.crunchbase.com/funding-round/d17528cd7ea9a2a09a6075fbb9f64dc5,LoungeUp,https://www.crunchbase.com/organization/loungeup,Seed,,07/03/2012,,
SeeMore Interactive's Seed Round,https://www.crunchbase.com/funding-round/c67d4c230fc4843187a0f7c61a034c6d,SeeMore Interactive,https://www.crunchbase.com/organization/seemore-interactive,Seed,"$1,000,000",04/23/2012,1,
MyRoll's Seed Round,https://www.crunchbase.com/funding-round/ae8c34cd68a12ea966eae114e664baae,MyRoll,https://www.crunchbase.com/organization/flayvr,Seed,"$450,000",10/05/2012,,
Visually's Convertible Note,https://www.crunchbase.com/funding-round/9630fb95652e83a4d31f91a8edb390f2,Visually,https://www.crunchbase.com/organization/visual-ly,Convertible Note,"$2,300,000",03/29/2013,,
TownWizard's Angel Round,https://www.crunchbase.com/funding-round/e9660d0ad1cbe2688fb7a679a8a78aa5,TownWizard,https://www.crunchbase.com/organization/townwizard,Angel,"€100,000",07/15/2012,1,"$5,000,000"
TownWizard's Seed Round,https://www.crunchbase.com/funding-round/8ae9e35e87cb3c0db424f6cf2a58d64d,TownWizard,https://www.crunchbase.com/organization/townwizard,Seed,"$125,000",07/01/2011,1,"$3,000,000"
Stayfilm's Angel Round,https://www.crunchbase.com/funding-round/86cfa843a4a4cfbb55d294879097af9b,Stayfilm,https://www.crunchbase.com/organization/stayfilm,Angel,"$1,500,000",10/01/2012,,"$10,000,000"
KUBOO's Venture Round,https://www.crunchbase.com/funding-round/c534dc2bb851afc2f59d83606a57a714,KUBOO,https://www.crunchbase.com/organization/kuboo,Series Unknown,"$2,117,442",04/24/2013,,
Holla@Me's Angel Round,https://www.crunchbase.com/funding-round/3aff50eaf5965718548c9b3b75e0a744,Holla@Me,https://www.crunchbase.com/organization/holla-me,Angel,"$67,000",11/01/2011,,"$218,000"
Shodogg's Convertible Note,https://www.crunchbase.com/funding-round/2dfffbc611e1aecf34d025211bdd577f,Shodogg,https://www.crunchbase.com/organization/shodogg,Convertible Note,"$550,000",03/27/2013,,
